2838,49.9488,18/11/2020,ADS-835ca260-1174-4c05-94d5-a9b30f54cbf7,Security Center,Solutions,EastUS,Solutions,Development,TechOps,100 /Hour,US East,Security Center
2774,48.8224,27/11/2020,ADS-835ca260-1174-4c05-94d5-a9b30f54cbf7,Security Center,Solutions,EastUS,Solutions,Production,TechOps,100 /Hour,US East,Security Center
2542,44.7392,08/11/2020,ADS-835ca260-1174-4c05-94d5-a9b30f54cbf7,Security Center,Solutions,EastUS,Solutions,Development,TechOps,100 /Hour,US East,Security Center
169.8427,0.074730469,07/11/2020,S-f1a0216a-8274-434a-903c-1981fe9fe6f6,Storage,info-mediaries,westeurope,info-mediaries,Test,Digital,100000000,EU West,Storage
168.0108,0.073924436,09/11/2020,S-f1a0216a-8274-434a-903c-1981fe9fe6f6,Storage,info-mediaries,westeurope,info-mediaries,Test,Digital,100000000,EU West,Storage
167.6429,0.07376256,05/11/2020,S-f1a0216a-8274-434a-903c-1981fe9fe6f6,Storage,info-mediaries,westeurope,info-mediaries,Development,Digital,100000000,EU West,Storage
167.5291,0.073712489,06/11/2020,S-f1a0216a-8274-434a-903c-1981fe9fe6f6,Storage,info-mediaries,westeurope,info-mediaries,Development,Digital,100000000,EU West,Storage
167.1511,0.07354617,14/11/2020,S-f1a0216a-8274-434a-903c-1981fe9fe6f6,Storage,info-mediaries,westeurope,info-mediaries,Production,Digital,100000000,EU West,Storage
166.9825,0.073471986,08/11/2020,S-f1a0216a-8274-434a-903c-1981fe9fe6f6,Storage,info-mediaries,westeurope,info-mediaries,Test,Digital,100000000,EU West,Storage
166.8826,0.07342803,04/11/2020,S-f1a0216a-8274-434a-903c-1981fe9fe6f6,Storage,info-mediaries,westeurope,info-mediaries,Production,Digital,100000000,EU West,Storage
166.7578,0.073373118,30/11/2020,S-f1a0216a-8274-434a-903c-1981fe9fe6f6,Storage,info-mediaries,westeurope,info-mediaries,Development,Digital,100000000,EU West,Storage
166.467,0.073245167,15/11/2020,S-f1a0216a-8274-434a-903c-1981fe9fe6f6,Storage,info-mediaries,westeurope,info-mediaries,Development,Digital,100000000,EU West,Storage
166.4587,0.073241515,12/11/2020,S-f1a0216a-8274-434a-903c-1981fe9fe6f6,Storage,info-mediaries,westeurope,info-mediaries,Development,Digital,100000000,EU West,Storage
166.1678,0.07311352,23/11/2020,S-f1a0216a-8274-434a-903c-1981fe9fe6f6,Storage,info-mediaries,westeurope,info-mediaries,Development,Digital,100000000,EU West,Storage
166.0467,0.073060236,26/11/2020,S-f1a0216a-8274-434a-903c-1981fe9fe6f6,Storage,info-mediaries,westeurope,info-mediaries,Development,Digital,100000000,EU West,Storage
165.6877,0.072902276,29/11/2020,S-f1a0216a-8274-434a-903c-1981fe9fe6f6,Storage,info-mediaries,westeurope,info-mediaries,Development,Digital,100000000,EU West,Storage
165.4712,0.072807016,28/11/2020,S-f1a0216a-8274-434a-903c-1981fe9fe6f6,Storage,info-mediaries,westeurope,info-mediaries,Test,Digital,100000000,EU West,Storage
165.3237,0.072742116,19/11/2020,S-f1a0216a-8274-434a-903c-1981fe9fe6f6,Storage,info-mediaries,westeurope,info-mediaries,Test,Digital,100000000,EU West,Storage
165.2377,0.072704277,20/11/2020,S-f1a0216a-8274-434a-903c-1981fe9fe6f6,Storage,info-mediaries,westeurope,info-mediaries,Development,Digital,100000000,EU West,Storage
160,2.816,02/11/2020,LA-37caf07e-1d56-4950-9feb-1ec841ad2e66,Security Center,Industrial,EastUS,Industrial,Development,DataOps,100 /Hour,US East,Security Center
146,2.5696,10/11/2020,LA-37caf07e-1d56-4950-9feb-1ec841ad2e66,Security Center,Industrial,EastUS,Industrial,Development,DataOps,100 /Hour,US East,Security Center
142,2.4992,03/11/2020,LA-37caf07e-1d56-4950-9feb-1ec841ad2e66,Security Center,Industrial,EastUS,Industrial,Development,DataOps,100 /Hour,US East,Security Center
137,2.4112,06/11/2020,LA-37caf07e-1d56-4950-9feb-1ec841ad2e66,Security Center,Industrial,EastUS,Industrial,Development,DataOps,100 /Hour,US East,Security Center
120,2.112,16/11/2020,LA-37caf07e-1d56-4950-9feb-1ec841ad2e66,Security Center,Industrial,EastUS,Industrial,Development,DataOps,100 /Hour,US East,Security Center
116.8833333,28.10013625,26/11/2020,ADFv-2d57f289-6d7b-492d-bc1d-5dc0b4a8bfd7,Azure Data Factory v2,Computers,EastUS,Computers,Development,Digital,100 Hours,US East,Azure Data Factory v2
98.95,23.78875074,24/11/2020,ADFv-2d57f289-6d7b-492d-bc1d-5dc0b4a8bfd7,Azure Data Factory v2,Computers,EastUS,Computers,Production,Digital,100 Hours,US East,Azure Data Factory v2
96,0.675839299,29/11/2020,ACD-14b4860f-d3cf-41f3-937f-bf5c8674432d,Azure Cosmos DB,Officer,westeurope,Officer,Development,Digital,1000 /Hour,EU West,Azure Cosmos DB
96,0.675839299,30/11/2020,ACD-14b4860f-d3cf-41f3-937f-bf5c8674432d,Azure Cosmos DB,Officer,westeurope,Officer,Test,Digital,1000 /Hour,EU West,Azure Cosmos DB
96,0.675839299,13/11/2020,ACD-14b4860f-d3cf-41f3-937f-bf5c8674432d,Azure Cosmos DB,Officer,westeurope,Officer,Production,Digital,1000 /Hour,EU West,Azure Cosmos DB
96,0.675839299,16/11/2020,ACD-14b4860f-d3cf-41f3-937f-bf5c8674432d,Azure Cosmos DB,Officer,westeurope,Officer,Development,Digital,1000 /Hour,EU West,Azure Cosmos DB
96,0.675839299,05/11/2020,ACD-14b4860f-d3cf-41f3-937f-bf5c8674432d,Azure Cosmos DB,Officer,westeurope,Officer,Development,Digital,1000 /Hour,EU West,Azure Cosmos DB
96,0.675839299,06/11/2020,ACD-14b4860f-d3cf-41f3-937f-bf5c8674432d,Azure Cosmos DB,Officer,westeurope,Officer,Production,Digital,1000 /Hour,EU West,Azure Cosmos DB
96,0.675839299,09/11/2020,ACD-14b4860f-d3cf-41f3-937f-bf5c8674432d,Azure Cosmos DB,Officer,westeurope,Officer,Production,Digital,1000 /Hour,EU West,Azure Cosmos DB
96,0.675839299,10/11/2020,ACD-14b4860f-d3cf-41f3-937f-bf5c8674432d,Azure Cosmos DB,Officer,westeurope,Officer,Test,Digital,1000 /Hour,EU West,Azure Cosmos DB
96,0.675839299,11/11/2020,ACD-14b4860f-d3cf-41f3-937f-bf5c8674432d,Azure Cosmos DB,Officer,westeurope,Officer,Test,Digital,1000 /Hour,EU West,Azure Cosmos DB
96,0.675839299,12/11/2020,ACD-14b4860f-d3cf-41f3-937f-bf5c8674432d,Azure Cosmos DB,Officer,westeurope,Officer,Test,Digital,1000 /Hour,EU West,Azure Cosmos DB
96,0.675839299,26/11/2020,ACD-14b4860f-d3cf-41f3-937f-bf5c8674432d,Azure Cosmos DB,Officer,westeurope,Officer,Development,Digital,1000 /Hour,EU West,Azure Cosmos DB
96,0.675839299,28/11/2020,ACD-14b4860f-d3cf-41f3-937f-bf5c8674432d,Azure Cosmos DB,Officer,westeurope,Officer,Development,Digital,1000 /Hour,EU West,Azure Cosmos DB
96,0.675839299,04/11/2020,ACD-14b4860f-d3cf-41f3-937f-bf5c8674432d,Azure Cosmos DB,Officer,westeurope,Officer,Development,Digital,1000 /Hour,EU West,Azure Cosmos DB
96,0.675839299,20/11/2020,ACD-14b4860f-d3cf-41f3-937f-bf5c8674432d,Azure Cosmos DB,Officer,westeurope,Officer,Development,Digital,1000 /Hour,EU West,Azure Cosmos DB
96,0.675839299,21/11/2020,ACD-14b4860f-d3cf-41f3-937f-bf5c8674432d,Azure Cosmos DB,Officer,westeurope,Officer,Development,Digital,1000 /Hour,EU West,Azure Cosmos DB
96,0.675839299,22/11/2020,ACD-14b4860f-d3cf-41f3-937f-bf5c8674432d,Azure Cosmos DB,Officer,westeurope,Officer,Production,Digital,1000 /Hour,EU West,Azure Cosmos DB
